Approach	PrunedMSM	PrunedMSM_DA	PMSMSearch with LB_Sorted	PMSMSearch with LB_Sorted2	DTW	PMSMSearch with Sakoe 1	PMSMSearch with Sakoe 5	PMSMSearch with Sakoe 10	PMSMSearch with Sakoe 20	PMSMSearch with Sakoe 50	PMSMSearch with LBKIm 5	PMSMSearch with LBKIm 10	PMSMSearch with LBKIm 20	PMSMSearch with LBKIm 50	PMSMSearch with LBSakoeTree5	PMSMSearch with LBSakoeTree10	PMSMSearch with LBSakoeTree20	PMSMSearch with LBSakoeTree50	PMSMSearch with Itakura 0.95	PMSMSearch with Itakura 0.9	PMSMSearch with Itakura 0.8	PMSMSearch with Itakura 0.5	PMSMSearch with LB_EDCost	PMSMSearch with LB_EDCost2	PMSMSearch with LB_EDCost3
Computers	0.560000	0.560000	0.560000	0.560000	0.7	0.540000	0.552000	0.544000	0.560000	0.560000	0.560000	0.560000	0.560000	0.560000	0.560000	0.560000	0.560000	0.560000	0.504000	0.540000	0.572000	0.564000	0.556000	0.560000	0.560000
CricketX	0.756410	0.756410	0.756410	0.756410	0.7538	0.605128	0.687179	0.756410	0.756410	0.756410	0.756410	0.756410	0.756410	0.756410	0.756410	0.756410	0.756410	0.756410	0.605128	0.646154	0.689744	0.730769	0.751282	0.756410	0.756410
CricketY	0.776923	0.776923	0.776923	0.776923	0.7436	0.607692	0.728205	0.758974	0.774359	0.776923	0.776923	0.776923	0.776923	0.776923	0.776923	0.776923	0.776923	0.776923	0.623077	0.676923	0.710256	0.728205	0.771795	0.776923	0.776923
CricketZ	0.764103	0.764103	0.764103	0.764103	0.7538	0.576923	0.700000	0.756410	0.764103	0.764103	0.764103	0.764103	0.764103	0.764103	0.764103	0.764103	0.764103	0.764103	0.612821	0.658974	0.710256	0.730769	0.764103	0.764103	0.764103
DiatomSizeReduction	0.954248	0.954248	0.954248	0.954248	0.9673	0.950980	0.950980	0.950980	0.950980	0.954248	0.954248	0.954248	0.954248	0.954248	0.954248	0.954248	0.954248	0.954248	0.879085	0.767974	0.937908	0.950980	0.928105	0.934641	0.954248
DistalPhalanxOutlineAgeGroup	0.712230	0.712230	0.712230	0.712230	0.7698	0.640288	0.712230	0.712230	0.712230	0.712230	0.712230	0.712230	0.712230	0.712230	0.712230	0.712230	0.712230	0.712230	0.618705	0.640288	0.647482	0.712230	0.712230	0.712230	0.712230
DistalPhalanxOutlineCorrect	0.710145	0.710145	0.710145	0.710145	0.7174	0.641304	0.710145	0.710145	0.710145	0.710145	0.710145	0.710145	0.710145	0.710145	0.710145	0.710145	0.710145	0.710145	0.648551	0.652174	0.673913	0.728261	0.739130	0.731884	0.710145
DistalPhalanxTW	0.618705	0.618705	0.618705	0.618705	0.5899	0.553957	0.618705	0.618705	0.618705	0.618705	0.618705	0.618705	0.618705	0.618705	0.618705	0.618705	0.618705	0.618705	0.604317	0.553957	0.575540	0.618705	0.611511	0.618705	0.618705
Earthquakes	0.719424	0.719424	0.719424	0.719424	0.7194	0.690647	0.719424	0.719424	0.719424	0.719424	0.719424	0.719424	0.719424	0.719424	0.719424	0.719424	0.719424	0.719424	0.741007	0.669065	0.712230	0.726619	0.719424	0.719424	0.719424
ECG200	0.850000	0.850000	0.850000	0.850000	0.77	0.780000	0.870000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.880000	0.860000	0.860000	0.860000	0.870000	0.860000	0.850000
ECG5000	0.930444	0.930444	0.930444	0.930444	0.9244	0.925778	0.930667	0.930000	0.930889	0.930444	0.930444	0.930444	0.930444	0.930444	0.930444	0.930444	0.930444	0.930444	0.926444	0.927778	0.928889	0.925556	0.933333	0.930444	0.930444
ECGFiveDays	0.835075	0.835075	0.835075	0.835075	0.7677	0.799071	0.844367	0.835075	0.835075	0.835075	0.835075	0.835075	0.835075	0.835075	0.835075	0.835075	0.835075	0.835075	0.825784	0.824623	0.825784	0.828107	0.760743	0.833914	0.835075
ElectricDevices	0.648165	0.649202	0.649202	0.646868	0.6012	0.432369	0.604591	0.644404	0.649202	0.649202	0.649202	0.649202	0.649202	0.649202	0.649202	0.649202	0.649202	0.649202	0.527428	0.571910	0.614836	0.640773	0.648424	0.649202	0.648424
FaceAll	0.813018	0.813018	0.813018	0.813018	0.8077	0.732544	0.810059	0.813609	0.813018	0.813018	0.813018	0.813018	0.813018	0.813018	0.813018	0.813018	0.813018	0.813018	0.740828	0.784024	0.800592	0.808284	0.792899	0.813018	0.813018
FaceFour	0.943182	0.943182	0.943182	0.943182	0.8295	0.931818	0.943182	0.943182	0.943182	0.943182	0.943182	0.943182	0.943182	0.943182	0.943182	0.943182	0.943182	0.943182	0.954545	0.931818	0.954545	0.931818	0.931818	0.943182	0.943182
FacesUCR	0.970244	0.970244	0.970244	0.970244	0.9049	0.823902	0.961463	0.969756	0.970244	0.970244	0.970244	0.970244	0.970244	0.970244	0.970244	0.970244	0.970244	0.970244	0.821951	0.875122	0.927317	0.953659	0.947317	0.970244	0.969756
FiftyWords	0.813187	0.813187	0.813187	0.813187	0.6901	0.679121	0.793407	0.817582	0.813187	0.813187	0.813187	0.813187	0.813187	0.813187	0.813187	0.813187	0.813187	0.813187	0.707692	0.731868	0.791209	0.786813	0.738462	0.810989	0.813187
Fish	0.920000	0.920000	0.920000	0.920000	0.8229	0.868571	0.914286	0.920000	0.920000	0.920000	0.920000	0.920000	0.920000	0.920000	0.920000	0.920000	0.920000	0.920000	0.851429	0.891429	0.908571	0.920000	0.708571	0.754286	0.902857
FordA	0.674242	0.674242	0.674242	0.674242	0.5545	0.689394	0.680303	0.672727	0.674242	0.674242	0.674242	0.674242	0.674242	0.674242	0.674242	0.674242	0.674242	0.674242	0.638636	0.631818	0.641667	0.636364	0.671970	0.674242	0.682576
FordB	0.651852	0.651852	0.651852	0.651852	0.6198	0.630864	0.635802	0.649383	0.651852	0.651852	0.651852	0.651852	0.651852	0.651852	0.651852	0.651852	0.651852	0.651852	0.630864	0.619753	0.625926	0.639506	0.609877	0.651852	0.630864
GunPoint	0.973333	0.973333	0.973333	0.973333	0.9067	0.946667	0.973333	0.973333	0.973333	0.973333	0.973333	0.973333	0.973333	0.973333	0.973333	0.973333	0.973333	0.973333	0.946667	0.960000	0.966667	0.973333	0.946667	0.946667	0.973333
Ham	0.600000	0.600000	0.600000	0.600000	0.4667	0.552381	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.600000	0.561905	0.552381	0.590476	0.609524	0.580952	0.600000	0.600000
HandOutlines	0.878378	0.878378	0.878378	0.878378	0.8811	0.878378	0.878378	0.878378	0.878378	0.878378	0.878378	0.878378	0.878378	0.878378	0.878378	0.878378	0.878378	0.878378	0.886486	0.881081	0.875676	0.875676	0.881081	0.854054	0.878378
Haptics	0.464286	0.464286	0.464286	0.464286	0.3766	0.363636	0.441558	0.467532	0.464286	0.464286	0.464286	0.464286	0.464286	0.464286	0.464286	0.464286	0.464286	0.464286	0.402597	0.415584	0.448052	0.461039	0.383117	0.392857	0.457792
Herring	0.625000	0.625000	0.625000	0.625000	0.5312	0.593750	0.625000	0.625000	0.625000	0.625000	0.625000	0.625000	0.625000	0.625000	0.625000	0.625000	0.625000	0.625000	0.531250	0.609375	0.578125	0.625000	0.546875	0.468750	0.625000
InlineSkate	0.456364	0.456364	0.456364	0.456364	0.3836	0.390909	0.452727	0.449091	0.458182	0.456364	0.456364	0.456364	0.456364	0.456364	0.456364	0.456364	0.456364	0.456364	0.383636	0.396364	0.430909	0.436364	0.340000	0.420000	0.458182
InsectWingbeatSound	0.553535	0.553535	0.553535	0.553535	0.3551	0.567172	0.571717	0.554040	0.553535	0.553535	0.553535	0.553535	0.553535	0.553535	0.553535	0.553535	0.553535	0.553535	0.565152	0.573737	0.575758	0.554545	0.549495	0.553535	0.555556
ItalyPowerDemand	0.965015	0.965015	0.965015	0.965015	0.9504	0.656948	0.965015	0.965015	0.965015	0.965015	0.965015	0.965015	0.965015	0.965015	0.965015	0.965015	0.965015	0.965015	0.779397	0.803693	0.907677	0.960155	0.965015	0.965015	0.965015
